,title,budget,currency_symbol,currency_amount
1567,The Italian Job,$ 60000000,$,60000000
1568,Mission: Impossible III,$ 150000000,$,150000000
1569,A Sound of Thunder,$ 80000000,$,80000000
1570,Looney Tunes: Back in Action,$ 80000000,$,80000000
1571,Resident Evil: Apocalypse,$ 45000000,$,45000000
1572,Sahara,$ 130000000,$,130000000
1573,Big Fish,$ 70000000,$,70000000
1574,The Day After Tomorrow,$ 125000000,$,125000000
1575,Elf,$ 33000000,$,33000000
1576,Party Monster,$ 5000000,$,5000000
1577,Kingdom of Heaven,$ 130000000,$,130000000
1578,Underworld,$ 22000000,$,22000000
1579,2 Fast 2 Furious,$ 76000000,$,76000000
1580,Freaky Friday,$ 20000000,$,20000000
1581,Honey,$ 18000000,$,18000000
1582,The Texas Chainsaw Massacre,$ 9500000,$,9500000
1583,Wicker Park,$ 30000000,$,30000000
1584,Gin gwai,SGD 4500000,SGD,3195000.0
1585,Lara Croft Tomb Raider: The Cradle of Life,$ 95000000,$,95000000
1586,The Last Samurai,$ 140000000,$,140000000
1587,Matchstick Men,$ 62000000,$,62000000
1588,Pirates of the Caribbean: The Curse of the Black Pearl,$ 140000000,$,140000000
1589,Good Boy!,$ 18000000,$,18000000
1590,Mystic River,$ 25000000,$,25000000
1591,Over the Hedge,$ 80000000,$,80000000
1592,Secondhand Lions,$ 30000000,$,30000000
1593,The Stepford Wives,$ 90000000,$,90000000
1594,The Whole Ten Yards,$ 40000000,$,40000000
1595,Around the World in 80 Days,$ 110000000,$,110000000
1596,Catwoman,$ 100000000,$,100000000
1597,Coraline,$ 60000000,$,60000000
1598,Ella Enchanted,$ 31000000,$,31000000
1599,The Rundown,$ 85000000,$,85000000
1600,Man on Fire,$ 70000000,$,70000000
1601,Thirteen,$ 2000000,$,2000000
1602,Under the Tuscan Sun,$ 18000000,$,18000000
1603,American Wedding,$ 55000000,$,55000000
1604,Brother Bear,$ 128000000,$,128000000
1605,Dumb and Dumberer: When Harry Met Lloyd,$ 19000000,$,19000000
1606,Freddy vs. Jason,$ 30000000,$,30000000
1607,xXx: State of the Union,$ 60000000,$,60000000
1608,Harry Potter and the Goblet of Fire,$ 150000000,$,150000000
1609,The Punisher,$ 33000000,$,33000000
1610,Scooby-Doo 2: Monsters Unleashed,$ 80000000,$,80000000
1611,Club Dread,$ 8600000,$,8600000
1612,Fever Pitch,$ 30000000,$,30000000
1613,The Notebook,$ 29000000,$,29000000
1614,The School of Rock,$ 35000000,$,35000000
1615,Troy,$ 175000000,$,175000000
1616,Garden State,$ 2500000,$,2500000
1617,"Legally Blonde 2: Red, White & Blonde",$ 45000000,$,45000000
1618,Girl with a Pearl Earring,$ 12000000,$,12000000
1619,Godsend,$ 25000000,$,25000000
1620,The Ladykillers,$ 35000000,$,35000000
1621,Lost in Translation,$ 4000000,$,4000000
1622,The Passion of the Christ,$ 30000000,$,30000000
1623,Starsky & Hutch,$ 60000000,$,60000000
1624,Win a Date with Tad Hamilton!,$ 22000000,$,22000000
1625,Wonderland,$ 5000000,$,5000000
1626,13 Going on 30,$ 37000000,$,37000000
1627,Barbershop 2: Back in Business,$ 30000000,$,30000000
1628,The Prince & Me,$ 22000000,$,22000000
1629,Rugrats Go Wild,$ 25000000,$,25000000
1630,Something's Gotta Give,$ 80000000,$,80000000
1631,Calendar Girls,$ 10000000,$,10000000
1632,Catch That Kid,$ 12000000,$,12000000
1633,Cellular,$ 25000000,$,25000000
1634,Live Free or Die Hard,$ 110000000,$,110000000
1635,Eternal Sunshine of the Spotless Mind,$ 20000000,$,20000000
1636,The Haunted Mansion,$ 90000000,$,90000000
1637,Haute tension,EUR 2200000,EUR,2420000.0
1638,Dirty Dancing: Havana Nights,$ 25000000,$,25000000
1639,Les invasions barbares,CAD 6000000,CAD,4320000.0
1640,Ondskan,SEK 22000000,SEK,2200000.0
1641,Paycheck,$ 60000000,$,60000000
1642,The Polar Express,$ 165000000,$,165000000
1643,Spy Kids 3: Game Over,$ 38000000,$,38000000
1644,Stuck on You,$ 55000000,$,55000000
1645,Deux frères,EUR 59660000,EUR,65626000.00000001
1646,Van Helsing,$ 160000000,$,160000000
1647,Mou gaan dou,$ 6428966,$,6428966
1648,The Aviator,$ 110000000,$,110000000
1649,From Justin to Kelly,$ 12000000,$,12000000
1650,A Series of Unfortunate Events,$ 140000000,$,140000000
1651,Monster,$ 8000000,$,8000000
1652,Unleashed,$ 45000000,$,45000000
1653,Along Came Polly,$ 42000000,$,42000000
1654,50 First Dates,$ 75000000,$,75000000
1655,The Good Shepherd,$ 90000000,$,90000000
1656,"I, Robot",$ 120000000,$,120000000
1657,Arthur et les Minimoys,$ 86000000,$,86000000
1658,The SpongeBob SquarePants Movie,$ 30000000,$,30000000
1659,Alexander,$ 155000000,$,155000000
1660,Hauru no ugoku shiro,$ 24000000,$,24000000
1661,Innocence,JPY 2000000000,JPY,18600000.0
1662,Suchîmubôi,$ 22000000,$,22000000
1663,Superman Returns,$ 270000000,$,270000000
1664,Waiting...,$ 3000000,$,3000000
1665,Gothika,$ 40000000,$,40000000
1666,Cheaper by the Dozen,$ 40000000,$,40000000
1667,King Arthur,$ 120000000,$,120000000
1668,Miracle,$ 28000000,$,28000000
1669,Ocean's Twelve,$ 110000000,$,110000000
1670,Teacher's Pet,$ 10000000,$,10000000
1671,Ray,$ 40000000,$,40000000
1672,Madagascar,$ 75000000,$,75000000
1673,Walking Tall,$ 46000000,$,46000000
1674,Cinderella Man,$ 88000000,$,88000000
1675,Salinui chueok,$ 2800000,$,2800000
1676,The Brothers Grimm,$ 88000000,$,88000000
1677,Lords of Dogtown,$ 25000000,$,25000000
1678,Riding the Bullet,$ 5000000,$,5000000
1679,EuroTrip,$ 25000000,$,25000000
1680,A Cinderella Story,$ 19000000,$,19000000
1681,Garfield,$ 50000000,$,50000000
1682,The Family Stone,$ 18000000,$,18000000
1683,Mr. & Mrs. Smith,$ 110000000,$,110000000
1684,The Ballad of Jack and Rose,$ 1500000,$,1500000
1685,Elektra,$ 43000000,$,43000000
1686,Anchorman: The Legend of Ron Burgundy,$ 26000000,$,26000000
1687,Robots,$ 75000000,$,75000000
1688,Shall We Dance,$ 50000000,$,50000000
1689,Walk the Line,$ 28000000,$,28000000
1690,Agent Cody Banks 2: Destination London,$ 26000000,$,26000000
1691,Blade: Trinity,$ 65000000,$,65000000
1692,The Secret Life of Walter Mitty,$ 90000000,$,90000000
1693,Wimbledon,$ 31000000,$,31000000
1694,Constantine,$ 100000000,$,100000000
1695,King Kong,$ 207000000,$,207000000
1696,Valiant,$ 35000000,$,35000000
1697,Confessions of a Teenage Drama Queen,$ 15000000,$,15000000
1698,First Daughter,$ 30000000,$,30000000
1699,Inglourious Basterds,$ 70000000,$,70000000
1700,The Machinist,$ 5000000,$,5000000
1701,Scary Movie 4,$ 45000000,$,45000000
1702,Son of the Mask,$ 84000000,$,84000000
1703,The Terminal,$ 60000000,$,60000000
1704,The Life Aquatic with Steve Zissou,$ 50000000,$,50000000
1705,The Box,$ 30000000,$,30000000
1706,Der Untergang,EUR 13500000,EUR,14850000.000000002
1707,New York Minute,$ 30000000,$,30000000
1708,Dawn of the Dead,$ 26000000,$,26000000
1709,Elephant,$ 3000000,$,3000000
1710,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",$ 180000000,$,180000000
1711,Secret Window,$ 40000000,$,40000000
1712,Taking Lives,$ 45000000,$,45000000
1713,Ju-on,$ 3500000,$,3500000
1714,Oldeuboi,$ 3000000,$,3000000
1715,Dodgeball: A True Underdog Story,$ 20000000,$,20000000
1716,Without a Paddle,$ 19000000,$,19000000
1717,Babylon A.D.,$ 70000000,$,70000000
1718,A Dirty Shame,$ 15000000,$,15000000
1719,Syriana,$ 50000000,$,50000000
1720,Shaun of the Dead,GBP 4000000,GBP,5040000.0
1721,Tenacious D in The Pick of Destiny,$ 20000000,$,20000000
1722,A Walk Among the Tombstones,$ 28000000,$,28000000
1723,Zero Day,$ 20000,$,20000
1724,Happy Feet,$ 100000000,$,100000000
1725,Harold & Kumar Go to White Castle,$ 9000000,$,9000000
1726,The Jacket,$ 29000000,$,29000000
1727,Mirrormask,$ 4000000,$,4000000
1728,The Squid and the Whale,$ 1500000,$,1500000
1729,Charlie and the Chocolate Factory,$ 150000000,$,150000000
1730,D.E.B.S.,$ 3500000,$,3500000
1731,Deuce Bigalow: European Gigolo,$ 22000000,$,22000000
1732,Indiana Jones and the Kingdom of the Crystal Skull,$ 185000000,$,185000000
1733,Hannibal Rising,$ 50000000,$,50000000
1734,The Room,$ 6000000,$,6000000
1735,The Village,$ 60000000,$,60000000
1736,Are We There Yet?,$ 32000000,$,32000000
1737,Elizabethtown,$ 45000000,$,45000000
1738,I'm Not There,$ 20000000,$,20000000
1739,National Treasure,$ 100000000,$,100000000
1740,The Princess Diaries 2: Royal Engagement,$ 40000000,$,40000000
1741,Sleepover,$ 10000000,$,10000000
1742,Alone in the Dark,$ 20000000,$,20000000
1743,Collateral,$ 65000000,$,65000000
1744,Four Christmases,$ 80000000,$,80000000
1745,Fun with Dick and Jane,$ 100000000,$,100000000
1746,Jurassic World,$ 150000000,$,150000000
1747,Mar adentro,EUR 10000000,EUR,11000000.0
1748,Monster-in-Law,$ 43000000,$,43000000
1749,Ultraviolet,$ 30000000,$,30000000
1750,AVP: Alien vs. Predator,$ 60000000,$,60000000
1751,Spanglish,$ 80000000,$,80000000
1752,Stay,$ 50000000,$,50000000
1753,Chicken Little,$ 150000000,$,150000000
1754,The Hitchhiker's Guide to the Galaxy,$ 50000000,$,50000000
1755,Iron Man,$ 140000000,$,140000000
1756,The Bourne Supremacy,$ 75000000,$,75000000
1757,Guess Who,$ 35000000,$,35000000
1758,The Wedding Date,$ 15000000,$,15000000
1759,Team America: World Police,$ 32000000,$,32000000
1760,Batman Begins,$ 150000000,$,150000000
1761,Les choristes,EUR 5500000,EUR,6050000.000000001
1762,Journey to the Center of the Earth,$ 60000000,$,60000000
1763,Kung fu,$ 20000000,$,20000000
1764,Kiss Kiss Bang Bang,$ 15000000,$,15000000
1765,Halloween,$ 15000000,$,15000000
1766,Harry Potter and the Order of the Phoenix,$ 150000000,$,150000000
1767,The Interpreter,$ 80000000,$,80000000
1768,Kontroll,HUF 100000000,HUF,310000.0
1769,Bewitched,$ 85000000,$,85000000
1770,Che: Part Two,$ 40000000,$,40000000
1771,Incident at Loch Ness,$ 1400000,$,1400000
1772,Napoleon Dynamite,$ 400000,$,400000
1773,Sideways,$ 16000000,$,16000000
1774,Alfie,$ 60000000,$,60000000
1775,White Noise,$ 10000000,$,10000000
1776,Astro Boy,$ 65000000,$,65000000
1777,Crash,$ 6500000,$,6500000
1778,Layer Cake,GBP 4000000,GBP,5040000.0
1779,Racing Stripes,$ 30000000,$,30000000
1780,Rebound,$ 33100000,$,33100000
1781,The Rum Diary,$ 45000000,$,45000000
1782,Closer,$ 27000000,$,27000000
1783,X-Men: The Last Stand,$ 210000000,$,210000000
1784,Mean Creek,$ 500000,$,500000
1785,Mean Girls,$ 17000000,$,17000000
1786,Proof,$ 20000000,$,20000000
1787,The Ring Two,$ 50000000,$,50000000
1788,The Dukes of Hazzard,$ 50000000,$,50000000
1789,Gnomeo & Juliet,$ 36000000,$,36000000
1790,Into the Blue,$ 50000000,$,50000000
1791,Kill Bill: Vol. 2,$ 30000000,$,30000000
1792,Capote,$ 7000000,$,7000000
1793,Serenity,$ 39000000,$,39000000
1794,The Merchant of Venice,$ 30000000,$,30000000
1795,The Lovely Bones,$ 65000000,$,65000000
1796,Oliver Twist,$ 60000000,$,60000000
1797,The Perfect Man,$ 10000000,$,10000000
1798,Casino Royale,$ 150000000,$,150000000
1799,Before Sunset,$ 2700000,$,2700000
1800,White Chicks,$ 37000000,$,37000000
1801,3:10 to Yuma,$ 55000000,$,55000000
1802,Curious George,$ 50000000,$,50000000
1803,Hide and Seek,$ 30000000,$,30000000
1804,The Da Vinci Code,$ 125000000,$,125000000
1805,Dark Water,$ 30000000,$,30000000
1806,Ratatouille,$ 150000000,$,150000000
1807,Stealth,$ 135000000,$,135000000
1808,"Synecdoche, New York",$ 20000000,$,20000000
1809,Zoom,$ 35000000,$,35000000
1810,The Pink Panther,$ 80000000,$,80000000
1811,BloodRayne,$ 25000000,$,25000000
1812,Pirates of the Caribbean: Dead Man's Chest,$ 225000000,$,225000000
1813,Cry Wolf,$ 1000000,$,1000000
1814,Silent Hill,$ 50000000,$,50000000
1815,The Weather Man,$ 22000000,$,22000000
1816,Accepted,$ 23000000,$,23000000
1817,The Amityville Horror,$ 19000000,$,19000000
1818,Shi mian mai fu,CNY 100000000,CNY,14000000.000000002
1819,In Good Company,$ 26000000,$,26000000
1820,Miss Congeniality 2: Armed & Fabulous,$ 45000000,$,45000000
1821,The Golden Compass,$ 180000000,$,180000000
1822,Monster House,$ 75000000,$,75000000
1823,Motherless Brooklyn,$ 26000000,$,26000000
1824,Taegukgi hwinalrimyeo,$ 12800000,$,12800000
1825,Where the Wild Things Are,$ 100000000,$,100000000
1826,The Legend of Zorro,$ 75000000,$,75000000
1827,Hitch,$ 70000000,$,70000000
1828,The Constant Gardener,$ 25000000,$,25000000
1829,Saw,$ 1200000,$,1200000
1830,Seed of Chucky,$ 12000000,$,12000000
1831,Caché,EUR 8000000,EUR,8800000.0
1832,Christmas with the Kranks,$ 60000000,$,60000000
1833,Transporter 2,$ 32000000,$,32000000
1834,Brokeback Mountain,$ 14000000,$,14000000
1835,Zwartboek,$ 21000000,$,21000000
1836,Bee Movie,$ 150000000,$,150000000
1837,Click,$ 82500000,$,82500000
1838,Friday Night Lights,$ 30000000,$,30000000
1839,Primer,$ 7000,$,7000
1840,The Grudge,$ 10000000,$,10000000
1841,A Lot Like Love,$ 30000000,$,30000000
1842,Brick,$ 475000,$,475000
1843,Coach Carter,$ 30000000,$,30000000
1844,The Shaggy Dog,$ 50000000,$,50000000
1845,Hotel Rwanda,$ 17500000,$,17500000
1846,Catch and Release,$ 25000000,$,25000000
1847,The Devil's Rejects,$ 7000000,$,7000000
1848,The Pacifier,$ 56000000,$,56000000
1849,North Country,$ 35000000,$,35000000
1850,Perfume: The Story of a Murderer,$ 60000000,$,60000000
1851,Wedding Crashers,$ 40000000,$,40000000
1852,Meet the Robinsons,$ 150000000,$,150000000
1853,Fat Albert,$ 26000000,$,26000000
1854,Nanny McPhee,$ 25000000,$,25000000
1855,Blood and Chocolate,$ 15000000,$,15000000
1856,House of Wax,$ 40000000,$,40000000
1857,Just My Luck,$ 28000000,$,28000000
1858,The Skeleton Key,$ 43000000,$,43000000
1859,Eight Below,$ 40000000,$,40000000
1860,Memoirs of a Geisha,$ 85000000,$,85000000
1861,Bolt,$ 150000000,$,150000000
1862,Derailed,$ 22000000,$,22000000
1863,The Longest Yard,$ 82000000,$,82000000
1864,Tangled,$ 260000000,$,260000000
1865,Rumor Has It...,$ 70000000,$,70000000
1866,Bridge to Terabithia,$ 17000000,$,17000000
1867,Clifford's Really Big Movie,$ 70000,$,70000
1868,DOA: Dead or Alive,$ 21000000,$,21000000
1869,Trade,$ 12000000,$,12000000
1870,A History of Violence,$ 32000000,$,32000000
1871,The Island,$ 126000000,$,126000000
1872,Lord of War,$ 50000000,$,50000000
1873,Herbie Fully Loaded,$ 50000000,$,50000000
1874,Open Season,$ 85000000,$,85000000
1875,A Good Year,$ 35000000,$,35000000
1876,"Paris, je t'aime",$ 13000000,$,13000000
1877,John Carter,$ 250000000,$,250000000
1878,Sin City,$ 40000000,$,40000000
1879,Underworld: Evolution,$ 50000000,$,50000000
1880,Æon Flux,$ 62000000,$,62000000
1881,The New World,$ 30000000,$,30000000
1882,The Sisterhood of the Traveling Pants,$ 25000000,$,25000000
1883,Youth in Revolt,$ 18000000,$,18000000
1884,Everything Is Illuminated,$ 7000000,$,7000000
1885,The Exorcism of Emily Rose,$ 19000000,$,19000000
1886,Little Children,$ 26000000,$,26000000
1887,Running Scared,$ 15000000,$,15000000
1888,The Lives of Others,$ 2000000,$,2000000
1889,Million Dollar Baby,$ 30000000,$,30000000
1890,A Scanner Darkly,$ 8700000,$,8700000
1891,Sky High,$ 35000000,$,35000000
1892,Southland Tales,$ 17000000,$,17000000
1893,The 40 Year Old Virgin,$ 26000000,$,26000000
1894,The Wild,$ 80000000,$,80000000
1895,Zathura: A Space Adventure,$ 65000000,$,65000000
1896,The Eye,$ 12000000,$,12000000
1897,The Guardian,$ 70000000,$,70000000
1898,Pooh's Heffalump Movie,$ 20000000,$,20000000
1899,War of the Worlds,$ 132000000,$,132000000
1900,The Departed,$ 90000000,$,90000000
1901,Sweeney Todd: The Demon Barber of Fleet Street,$ 50000000,$,50000000
1902,Munich,$ 70000000,$,70000000
1903,Flightplan,$ 55000000,$,55000000
1904,The Heartbreak Kid,$ 60000000,$,60000000
1905,Last Holiday,$ 45000000,$,45000000
1906,Poseidon,$ 160000000,$,160000000
1907,Watchmen,$ 130000000,$,130000000
1908,Cowboys & Aliens,$ 163000000,$,163000000
1909,Hustle & Flow,$ 2800000,$,2800000
1910,The Lake House,$ 40000000,$,40000000
1911,Nim's Island,$ 37000000,$,37000000
1912,Tideland,$ 19300000,$,19300000
1913,88 Minutes,$ 30000000,$,30000000
1914,Hellboy II: The Golden Army,$ 85000000,$,85000000
1915,Broken Flowers,$ 10000000,$,10000000
1916,Evan Almighty,$ 175000000,$,175000000
1917,Shrek the Third,$ 160000000,$,160000000
1918,Spider-Man 3,$ 258000000,$,258000000
1919,Charlotte's Web,$ 85000000,$,85000000
1920,Elizabeth: The Golden Age,$ 55000000,$,55000000
1921,Pride & Prejudice,$ 28000000,$,28000000
1922,Banlieue 13,EUR 12000000,EUR,13200000.000000002
1923,Barnyard,$ 51000000,$,51000000
1924,Final Destination 3,$ 25000000,$,25000000
1925,The Fountain,$ 35000000,$,35000000
1926,Talladega Nights: The Ballad of Ricky Bobby,$ 72500000,$,72500000
1927,Martian Child,$ 27000000,$,27000000
1928,The Secret Life of Bees,$ 11000000,$,11000000
1929,The Spiderwick Chronicles,$ 90000000,$,90000000
1930,Wolf Creek,$ 1000000,$,1000000
1931,Match Point,$ 15000000,$,15000000
1932,300,$ 65000000,$,65000000
1933,Becoming Jane,$ 16500000,$,16500000
1934,Harry Potter and the Half-Blood Prince,$ 250000000,$,250000000
1935,Transformers,$ 150000000,$,150000000
1936,Flags of Our Fathers,$ 90000000,$,90000000
1937,Jarhead,$ 72000000,$,72000000
1938,Land of the Dead,$ 15000000,$,15000000
1939,Dead Man's Shoes,GBP 695393,GBP,876195.18
1940,Doom,$ 60000000,$,60000000
1941,In the Land of Women,$ 10000000,$,10000000
1942,The Kite Runner,$ 20000000,$,20000000
1943,Stranger Than Fiction,$ 30000000,$,30000000
1944,The Tale of Despereaux,$ 60000000,$,60000000
1945,Keane,$ 850000,$,850000
1946,The Texas Chainsaw Massacre: The Beginning,$ 16000000,$,16000000
1947,Veer-Zaara,$ 7000000,$,7000000
1948,Domino,$ 50000000,$,50000000
1949,Street Kings,$ 20000000,$,20000000
1950,Control,EUR 4500000,EUR,4950000.0
1951,Gridiron Gang,$ 30000000,$,30000000
1952,Red Eye,$ 26000000,$,26000000
1953,The Curious Case of Benjamin Button,$ 150000000,$,150000000
1954,Big Momma's House 2,$ 40000000,$,40000000
1955,Imagine Me & You,$ 7900000,$,7900000
1956,Diary of a Mad Black Woman,$ 5500000,$,5500000
1957,Hatchet,$ 1500000,$,1500000
1958,Marie Antoinette,$ 40000000,$,40000000
1959,Are We Done Yet?,$ 28000000,$,28000000
1960,Surf's Up,$ 100000000,$,100000000
1961,Bin-jip,$ 1000000,$,1000000
1962,Charlie Bartlett,$ 12000000,$,12000000
1963,Flushed Away,$ 149000000,$,149000000
1964,Hard Candy,$ 950000,$,950000
1965,Joyeux Noël,$ 22000000,$,22000000
1966,Clerks II,$ 5000000,$,5000000
1967,The Adventures of Sharkboy and Lavagirl 3-D,$ 50000000,$,50000000
1968,Employee of the Month,$ 12000000,$,12000000
1969,Get Smart,$ 80000000,$,80000000
1970,Hot Fuzz,GBP 8000000,GBP,10080000.0
1971,Just Like Heaven,$ 58000000,$,58000000
1972,Lucky Number Slevin,$ 27000000,$,27000000
1973,Run Fatboy Run,$ 10000000,$,10000000
1974,The Messengers,$ 16000000,$,16000000
1975,Trailer Park Boys: The Movie,CAD 5000000,CAD,3600000.0
1976,Superhero Movie,$ 35000000,$,35000000
1977,August Rush,$ 30000000,$,30000000
1978,Dinner for Schmucks,$ 69000000,$,69000000
1979,Failure to Launch,$ 50000000,$,50000000
1980,The Great Debaters,$ 15000000,$,15000000
1981,Hairspray,$ 75000000,$,75000000
1982,The Invasion,$ 80000000,$,80000000
1983,The Lookout,$ 16000000,$,16000000
1984,Thank You for Smoking,$ 6500000,$,6500000
1985,Hollywoodland,$ 28000000,$,28000000
1986,The A-Team,$ 110000000,$,110000000
1987,An American Haunting,$ 14000000,$,14000000
1988,The Ant Bully,$ 50000000,$,50000000
1989,Aquamarine,$ 12000000,$,12000000
1990,Four Brothers,$ 45000000,$,45000000
1991,Little Man,$ 64000000,$,64000000
1992,Get Rich or Die Tryin',$ 40000000,$,40000000
1993,Miami Vice,$ 135000000,$,135000000
1994,The Women,$ 16000000,$,16000000
1995,Everyone's Hero,$ 35000000,$,35000000
1996,Role Models,$ 28000000,$,28000000
1997,The Possession,$ 14000000,$,14000000
1998,P.S. I Love You,$ 30000000,$,30000000
1999,Resident Evil: Extinction,$ 45000000,$,45000000
2000,Fantastic Mr. Fox,$ 40000000,$,40000000
2001,The Fog,$ 18000000,$,18000000
2002,Saw II,$ 4000000,$,4000000
2003,Krrish,$ 10200000,$,10200000
2004,Real Steel,$ 110000000,$,110000000
2005,Daybreakers,$ 20000000,$,20000000
2006,"Good Night, and Good Luck.",$ 7000000,$,7000000
2007,The Grudge 2,$ 20000000,$,20000000
2008,V for Vendetta,$ 54000000,$,54000000
2009,The Descent,GBP 3500000,GBP,4410000.0
2010,The Giver,$ 25000000,$,25000000
2011,The Invisible,$ 30000000,$,30000000
2012,Next,$ 70000000,$,70000000
2013,Toy Story 3,$ 200000000,$,200000000
2014,Friends with Money,$ 6500000,$,6500000
2015,G-Force,$ 150000000,$,150000000
2016,The Queen,GBP 9800000,GBP,12348000.0
2017,Alita: Battle Angel,$ 170000000,$,170000000
2018,See No Evil,$ 8000000,$,8000000
2019,Akeelah and the Bee,$ 8000000,$,8000000
2020,The Benchwarmers,$ 33000000,$,33000000
2021,Ice Age: The Meltdown,$ 80000000,$,80000000
2022,Peaceful Warrior,$ 10000000,$,10000000
2023,Terminator Salvation,$ 200000000,$,200000000
2024,Slither,$ 15000000,$,15000000
2025,The Bourne Ultimatum,$ 110000000,$,110000000
2026,Kung Fu Panda,$ 130000000,$,130000000
2027,Stay Alive,$ 7000000,$,7000000
2028,Volver,EUR 7450000,EUR,8195000.000000001
2029,Beowulf,$ 150000000,$,150000000
2030,Lincoln,$ 65000000,$,65000000
2031,"Yours, Mine & Ours",$ 45000000,$,45000000
2032,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,$ 18000000,$,18000000
2033,Dreamgirls,$ 70000000,$,70000000
2034,Hoodwinked!,$ 30000000,$,30000000
2035,The Illusionist,$ 16500000,$,16500000
2036,The Sentinel,$ 60000000,$,60000000
2037,The Assassination of Jesse James by the Coward Robert Ford,$ 30000000,$,30000000
2038,The X Files: I Want to Believe,$ 30000000,$,30000000
2039,Zodiac,$ 65000000,$,65000000
2040,Keeping Mum,$ 169000,$,169000
2041,Across the Universe,$ 45000000,$,45000000
2042,Blades of Glory,$ 61000000,$,61000000
2043,Invincible,$ 40000000,$,40000000
2044,Scott Pilgrim vs. the World,$ 60000000,$,60000000
2045,Take the Lead,$ 30000000,$,30000000
2046,The Painted Veil,$ 19400000,$,19400000
2047,Knowing,$ 50000000,$,50000000
2048,Shazam!,$ 100000000,$,100000000
2049,Sunshine,GBP 26000000,GBP,32760000.0
2050,Hancock,$ 150000000,$,150000000
2051,Puss in Boots,$ 130000000,$,130000000
2052,Eragon,$ 100000000,$,100000000
2053,Little Miss Sunshine,$ 8000000,$,8000000
2054,Pirates of the Caribbean: At World's End,$ 300000000,$,300000000
2055,RV,$ 50000000,$,50000000
2056,Babel,$ 25000000,$,25000000
2057,Passengers,$ 25000000,$,25000000
2058,Jodhaa Akbar,INR 400000000,INR,5200000.0
2059,La môme,$ 25000000,$,25000000
2060,16 Blocks,$ 52000000,$,52000000
2061,Blood Diamond,$ 100000000,$,100000000
2062,Hostel,$ 4800000,$,4800000
2063,Punisher: War Zone,$ 35000000,$,35000000
2064,The Wicker Man,$ 40000000,$,40000000
2065,1408,$ 25000000,$,25000000
2066,Cirque du Freak: The Vampire's Assistant,$ 40000000,$,40000000
2067,Horton Hears a Who!,$ 85000000,$,85000000
2068,Chinjeolhan geumjassi,KRW 4200000000,KRW,3444000.0
2069,Wonder Woman,$ 149000000,$,149000000
2070,The Break-Up,$ 52000000,$,52000000
2071,Cheaper by the Dozen 2,$ 60000000,$,60000000
2072,Death Race,$ 45000000,$,45000000
2073,Gone Baby Gone,$ 19000000,$,19000000
2074,Good Luck Chuck,$ 25000000,$,25000000
2075,Lady in the Water,$ 70000000,$,70000000
2076,The Santa Clause 3: The Escape Clause,$ 12000000,$,12000000
2077,The Time Traveler's Wife,$ 39000000,$,39000000
2078,Mr. Bean's Holiday,$ 25000000,$,25000000
2079,Deja Vu,$ 75000000,$,75000000
2080,Hoot,$ 15000000,$,15000000
2081,TMNT,$ 34000000,$,34000000
2082,42,$ 40000000,$,40000000
2083,Black Christmas,$ 9000000,$,9000000
2084,Flyboys,$ 60000000,$,60000000
2085,The Hills Have Eyes,$ 15000000,$,15000000
2086,Inside Man,$ 45000000,$,45000000
2087,Life of Pi,$ 120000000,$,120000000
2088,Pulse,$ 20500000,$,20500000
2089,The Pursuit of Happyness,$ 55000000,$,55000000
2090,She's the Man,$ 20000000,$,20000000
2091,Aqua Teen Hunger Force Colon Movie Film for Theaters,$ 750000,$,750000
2092,The Crazies,$ 20000000,$,20000000
2093,Garfield: A Tale of Two Kitties,$ 60000000,$,60000000
2094,How to Lose Friends & Alienate People,$ 28000000,$,28000000
2095,The Last King of Scotland,$ 6000000,$,6000000
2096,Madea's Family Reunion,$ 6000000,$,6000000
2097,Dead Silence,$ 20000000,$,20000000
2098,Australia,$ 130000000,$,130000000
2099,When a Stranger Calls,$ 15000000,$,15000000
2100,The Equalizer,$ 55000000,$,55000000
2101,Goya's Ghosts,$ 50000000,$,50000000
2102,John Tucker Must Die,$ 18000000,$,18000000
2103,Jaan-E-Mann: Let's Fall in Love... Again,$ 2000000,$,2000000
2104,Mr. Magorium's Wonder Emporium,$ 65000000,$,65000000
2105,Pan's Labyrinth,$ 19000000,$,19000000
2106,Perfect Stranger,$ 60795000,$,60795000
2107,Stormbreaker,$ 40000000,$,40000000
2108,Nacho Libre,$ 35000000,$,35000000
2109,Scoop,$ 4000000,$,4000000
2110,Fido,$ 8000000,$,8000000
2111,The Holiday,$ 85000000,$,85000000
2112,Captain America: The First Avenger,$ 140000000,$,140000000
2113,The Devil Wears Prada,$ 35000000,$,35000000
2114,A Long Way Down,$ 12000000,$,12000000
2115,Sin City: A Dame to Kill For,$ 65000000,$,65000000
2116,X-Men Origins: Wolverine,$ 150000000,$,150000000
2117,Enchanted,$ 85000000,$,85000000
2118,Code Name: The Cleaner,$ 20000000,$,20000000
2119,Daddy Day Camp,$ 6000000,$,6000000
2120,Grindhouse,$ 67000000,$,67000000
2121,The Last Legion,$ 35000000,$,35000000
2122,Outlander,$ 50000000,$,50000000
2123,Rambo,$ 50000000,$,50000000
2124,The Simpsons Movie,$ 75000000,$,75000000
2125,Step Up,$ 12000000,$,12000000
