,title,year,country,language,duration,genre,director,production_company,description,budget,usa_gross_income,worlwide_gross_income,IMDB_rating,metascore,reviews_from_users,votes,reviews_from_critics,female_avg_rating,male_avg_rating,female_votes,male_votes,avg_rating_<18yrs,votes_<18yrs,avg_rating_18-30yrs,votes_18-30yrs,avg_rating_30-45yrs,votes_30-45yrs,avg_rating_>45yrs,votes_>45yrs,positive_votes,neutral_votes,negative_votes,percentage_of_positive_reviews,overall_eval,genre_1,genre_2,genre_3,country_1,country_2,country_3,budget_USD,actor_1,listing_1,actor_2,listing_2,actor_3,listing_3
43,To Kill a Mockingbird,1962,USA,English,129,"Crime, Drama",Robert Mulligan,Universal International Pictures (UI),"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",$ 2000000,$ 592237,$ 599146,8.3,88.0,541.0,278298,149.0,8.4,8.2,46559.0,164325.0,8.3,197.0,8.2,61384.0,8.2,99033.0,8.6,42898.0,249363,23034,5901,0.9,1,Crime, Drama,,USA,,,2000000.0,Gregory Peck,D,John Megna,D,Frank Overton,D
47,It's a Mad Mad Mad Mad World,1963,USA,English,205,"Action, Adventure, Comedy",Stanley Kramer,Casey Productions,"A group of motorists hear about a crook's hidden stash of loot, and race against each other across the country to get to it.",$ 9400000,$ 46332858,$ 46332858,7.5,59.0,380.0,35475,72.0,7.5,7.5,3294.0,24150.0,8.4,11.0,7.7,4050.0,7.3,11206.0,7.7,11670.0,28159,6294,1022,0.79,1,Action, Adventure, Comedy,USA,,,9400000.0,Spencer Tracy,D,Milton Berle,D,Sid Caesar,D
46,From Russia with Love,1963,UK,"English, Russian, Turkish, Romany",115,"Action, Adventure, Thriller",Terence Young,Eon Productions,James Bond willingly falls into an assassination plot involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by S.P.E.C.T.R.E.,$ 2000000,$ 24796765,$ 24808046,7.4,85.0,387.0,108357,108.0,7.1,7.4,6460.0,78641.0,7.7,79.0,7.5,19736.0,7.4,43916.0,7.5,18735.0,88529,18543,1285,0.82,1,Action, Adventure, Thriller,UK,,,2000000.0,Sean Connery,B,Daniela Bianchi,D,Pedro Armendáriz,D
44,Cleopatra,1963,"Switzerland, UK, USA",English,192,"Biography, Drama, History",Joseph L. Mankiewicz,Twentieth Century Fox,Queen Cleopatra VII of Egypt experiences both triumph and tragedy as she attempts to resist the imperial ambitions of Rome.,$ 44000000,$ 57777778,$ 57777778,7.0,60.0,215.0,27118,84.0,7.2,7.0,5329.0,16362.0,7.1,7.0,7.1,3592.0,7.0,10192.0,7.0,7412.0,18916,7308,894,0.7,1,Biography, Drama, History,Switzerland, UK, USA,44000000.0,Elizabeth Taylor,D,Richard Burton,D,Rex Harrison,D
48,The Sword in the Stone,1963,USA,English,79,"Animation, Adventure, Comedy",Wolfgang Reitherman,Walt Disney Productions,"A poor boy named Arthur learns the power of love, kindness, knowledge and bravery with the help of a wizard called Merlin in the path to become one of the most beloved kings in English history.",$ 3000000,$ 12000000,$ 12000000,7.2,61.0,93.0,82524,69.0,7.3,7.2,18844.0,46930.0,6.9,78.0,7.1,23076.0,7.3,34100.0,7.0,6348.0,61744,19363,1417,0.75,1,Animation, Adventure, Comedy,USA,,,3000000.0,Sebastian Cabot,D,Karl Swenson,D,Rickie Sorensen,D
32,Le petit soldat,1963,France,French,88,"War, Drama",Jean-Luc Godard,Les Productions Georges de Beauregard,"During the Algerian War, a man and woman from opposing sides fall in love with one another.",$ 180000,$ 24296,$ 24296,7.3,97.0,25.0,5405,33.0,7.4,7.2,709.0,3630.0,3.5,2.0,7.5,1222.0,7.2,2101.0,7.0,949.0,4044,1194,167,0.75,1,War, Drama,,France,,,180000.0,Michel Subor,D,Anna Karina,D,Henri-Jacques Huet,D
53,My Fair Lady,1964,USA,English,170,"Drama, Family, Musical",George Cukor,Warner Bros.,Snobbish phonetics Professor Henry Higgins (Sir Rex Harrison) agrees to a wager that he can make flower girl Eliza Doolittle (Audrey Hepburn) presentable in high society.,$ 17000000,$ 72560711,$ 72661442,7.8,95.0,296.0,81233,89.0,8.0,7.7,25519.0,37243.0,7.4,28.0,7.8,14075.0,7.7,29602.0,8.0,17315.0,69019,10374,1840,0.85,1,Drama, Family, Musical,USA,,,17000000.0,Audrey Hepburn,D,Rex Harrison,D,Stanley Holloway,D
54,Per un pugno di dollari,1964,"Italy, Spain, West Germany","Italian, Spanish",99,"Drama, Western",Sergio Leone,Jolly Film,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",$ 200000,$ 14500000,$ 14516248,8.0,65.0,280.0,182426,143.0,7.7,8.0,8615.0,134967.0,8.0,141.0,8.0,40053.0,8.0,71926.0,7.9,26560.0,166639,13913,1874,0.91,1,Drama, Western,,Italy, Spain, West Germany,200000.0,Clint Eastwood,A,Marianne Koch,D,Gian Maria Volontè,D
51,A Hard Day's Night,1964,UK,"English, German, French",87,"Comedy, Music, Musical",Richard Lester,Walter Shenson Films,"Over two ""typical"" days in the life of",$ 560000,$ 1480356,$ 2360561,7.6,96.0,239.0,37610,85.0,8.0,7.6,6000.0,23172.0,8.0,36.0,7.9,7197.0,7.4,12560.0,7.6,8749.0,30532,6124,954,0.81,1,Comedy, Music, Musical,UK,,,560000.0,The Beatles,D,John Lennon,D,Paul McCartney,D
52,Mary Poppins,1964,USA,English,139,"Comedy, Family, Fantasy",Robert Stevenson,Walt Disney Productions,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",$ 6000000,$ 102272727,$ 103078700,7.8,88.0,318.0,147022,157.0,8.1,7.6,38812.0,73293.0,7.7,169.0,7.7,30063.0,7.8,55789.0,7.9,21545.0,124087,19970,2965,0.84,1,Comedy, Family, Fantasy,USA,,,6000000.0,Julie Andrews,C,Dick Van Dyke,D,David Tomlinson,D
49,Bande à part,1964,France,"French, English",95,"Comedy, Crime, Drama",Jean-Luc Godard,Columbia Films,Two crooks with a fondness for old Hollywood B-movies convince a languages student to help them commit a robbery.,$ 120000,$ 66660,$ 66660,7.8,88.0,65.0,20595,92.0,7.8,7.7,2725.0,13961.0,7.8,11.0,7.9,4760.0,7.7,8991.0,7.5,2646.0,17409,2762,424,0.85,1,Comedy, Crime, Drama,France,,,120000.0,Anna Karina,D,Danièle Girard,D,Louisa Colpeyn,D
45,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"UK, USA","English, Russian",95,Comedy,Stanley Kubrick,Columbia Pictures,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,$ 1800000,$ 9440272,$ 9443876,8.4,97.0,899.0,423973,227.0,8.1,8.4,36487.0,285204.0,8.6,249.0,8.4,81132.0,8.4,170702.0,8.4,60456.0,376602,35818,11553,0.89,1,Comedy,,,UK, USA,,1800000.0,Peter Sellers,D,George C. Scott,D,Sterling Hayden,D
50,Goldfinger,1964,UK,"English, Chinese, Spanish",110,"Action, Adventure, Thriller",Guy Hamilton,Eon Productions,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",$ 3000000,$ 51081062,$ 51158864,7.7,87.0,455.0,161433,119.0,7.3,7.7,10523.0,116609.0,8.1,108.0,7.7,29559.0,7.6,66403.0,7.8,27317.0,139900,19613,1920,0.87,1,Action, Adventure, Thriller,UK,,,3000000.0,Sean Connery,B,Gert Fröbe,D,Honor Blackman,D
57,Per qualche dollaro in più,1965,"Italy, Spain, West Germany","Italian, English",132,Western,Sergio Leone,Produzioni Europee Associate (PEA),Two bounty hunters with the same intentions team up to track down a Western outlaw.,$ 600000,$ 15000000,$ 15000000,8.3,74.0,263.0,213153,129.0,7.9,8.3,10726.0,152490.0,8.4,150.0,8.4,43088.0,8.3,82219.0,8.1,31451.0,197097,13177,2879,0.92,1,Western,,,Italy, Spain, West Germany,600000.0,Clint Eastwood,A,Lee Van Cleef,D,Gian Maria Volontè,D
59,Thunderball,1965,UK,"English, French",130,"Action, Adventure, Thriller",Terence Young,Eon Productions,James Bond heads to the Bahamas to recover two nuclear warheads stolen by S.P.E.C.T.R.E. Agent Emilio Largo in an international extortion scheme.,$ 9000000,$ 63595658,$ 63595658,7.0,64.0,310.0,97429,100.0,6.8,7.0,5223.0,72181.0,6.8,61.0,7.0,16536.0,6.9,40714.0,7.1,17756.0,70172,25646,1611,0.72,1,Action, Adventure, Thriller,UK,,,9000000.0,Sean Connery,B,Claudine Auger,D,Adolfo Celi,D
56,Doctor Zhivago,1965,"USA, Italy, UK, Liechtenstein","English, Russian, French",197,"Drama, Romance, War",David Lean,Metro-Goldwyn-Mayer (MGM),"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",$ 11000000,$ 111721910,$ 111918564,8.0,69.0,289.0,65567,94.0,7.9,8.0,9973.0,41686.0,8.0,15.0,8.0,7711.0,7.9,25109.0,8.1,17920.0,56076,7472,2019,0.86,1,Drama, Romance, War,USA, Italy, UK,11000000.0,Omar Sharif,D,Julie Christie,D,Geraldine Chaplin,D
58,The Sound of Music,1965,USA,"English, German",172,"Biography, Drama, Family",Robert Wise,Robert Wise Productions,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.,$ 8200000,$ 159287539,$ 159413574,8.0,63.0,452.0,186919,131.0,8.3,7.8,55922.0,86724.0,8.0,161.0,8.0,39460.0,7.9,66670.0,8.1,30978.0,161502,20200,5217,0.86,1,Biography, Drama, Family,USA,,,8200000.0,Julie Andrews,C,Christopher Plummer,D,Eleanor Parker,D
60,"Il buono, il brutto, il cattivo",1966,"Italy, Spain, West Germany","Italian, English, Spanish",161,Western,Sergio Leone,Produzioni Europee Associate (PEA),A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,$ 1200000,$ 25100000,$ 25252481,8.8,90.0,984.0,640904,202.0,8.4,8.9,42496.0,452508.0,9.1,480.0,8.9,144759.0,8.8,250313.0,8.7,77626.0,597674,28915,14315,0.93,1,Western,,,Italy, Spain, West Germany,1200000.0,Eli Wallach,D,Clint Eastwood,A,Lee Van Cleef,D
61,Who's Afraid of Virginia Woolf?,1966,USA,"English, Latin, Spanish",131,Drama,Mike Nichols,Warner Bros.,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night.",$ 7500000,$ 28000000,$ 28005068,8.0,75.0,275.0,65413,91.0,8.1,8.0,11397.0,42015.0,8.5,23.0,8.1,11406.0,7.9,25789.0,8.0,15268.0,55018,7583,2812,0.84,1,Drama,,,USA,,,7500000.0,Elizabeth Taylor,D,Richard Burton,D,George Segal,D
55,La battaglia di Algeri,1966,"Italy, Algeria","French, Arabic, English",121,"Drama, War",Gillo Pontecorvo,Casbah Film,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",$ 800000,$ 879794,$ 964028,8.1,95.0,278.0,48371,147.0,7.9,8.1,4175.0,34504.0,8.1,13.0,8.1,8794.0,8.1,20495.0,8.1,8549.0,40962,4537,2872,0.85,1,Drama, War,,Italy, Algeria,,800000.0,Brahim Hadjadj,D,Jean Martin,D,Yacef Saadi,D
62,The Graduate,1967,USA,English,106,"Comedy, Drama, Romance",Mike Nichols,Lawrence Turman,A disillusioned college graduate finds himself torn between his older lover and her daughter.,$ 3000000,$ 104945305,$ 104982118,8.0,83.0,734.0,242106,189.0,7.8,8.0,39642.0,153626.0,8.3,94.0,8.1,49021.0,7.9,99494.0,8.0,40432.0,212083,25470,4553,0.88,1,Comedy, Drama, Romance,USA,,,3000000.0,Anne Bancroft,D,Dustin Hoffman,A,Katharine Ross,D
63,Guess Who's Coming to Dinner,1967,USA,English,108,"Comedy, Drama",Stanley Kramer,Columbia Pictures,A couple's attitudes are challenged when their daughter introduces them to her African-American fiancé.,$ 4000000,$ 56666667,$ 56666667,7.8,63.0,365.0,35943,67.0,7.9,7.7,6999.0,21559.0,8.2,18.0,7.8,5183.0,7.7,13263.0,7.8,9549.0,30954,4366,623,0.86,1,Comedy, Drama,,USA,,,4000000.0,Spencer Tracy,D,Sidney Poitier,D,Katharine Hepburn,D
65,The Jungle Book,1967,USA,English,78,"Animation, Adventure, Family",Wolfgang Reitherman,Walt Disney Productions,Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.,$ 4000000,$ 141843612,$ 210310084,7.6,65.0,158.0,154739,126.0,7.6,7.6,32642.0,88547.0,7.3,194.0,7.6,44654.0,7.6,57213.0,7.8,14706.0,129119,23625,1995,0.83,1,Animation, Adventure, Family,USA,,,4000000.0,Phil Harris,D,Sebastian Cabot,D,Bruce Reitherman,D
66,You Only Live Twice,1967,UK,"English, Japanese, Russian",117,"Action, Adventure, Thriller",Lewis Gilbert,Eon Productions,Agent 007 and the Japanese Secret Service ninja force must find and stop the true culprit of a series of spacejackings before nuclear war is provoked.,$ 9500000,$ 43084787,$ 43084787,6.9,61.0,292.0,90161,99.0,6.7,6.9,5139.0,66164.0,7.0,61.0,6.8,14575.0,6.8,37641.0,7.0,16873.0,61616,26963,1582,0.68,1,Action, Adventure, Thriller,UK,,,9500000.0,Sean Connery,B,Akiko Wakabayashi,D,Mie Hama,D
64,Hang 'Em High,1968,USA,English,114,"Drama, Western",Ted Post,Leonard Freeman Production,"When an innocent man barely survives a lynching, he returns as a lawman determined to bring the vigilantes to justice.",$ 1600000,$ 11000000,$ 11000000,7.0,62.0,129.0,32495,41.0,7.1,7.0,1499.0,24005.0,6.8,14.0,7.0,3495.0,6.9,11626.0,7.1,9618.0,23730,8317,448,0.73,1,Drama, Western,,USA,,,1600000.0,Clint Eastwood,A,Inger Stevens,D,Ed Begley,D
67,2001: A Space Odyssey,1968,"UK, USA","English, Russian",149,"Adventure, Sci-Fi",Stanley Kubrick,Metro-Goldwyn-Mayer (MGM),"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",$ 12000000,$ 60541301,$ 68763373,8.3,82.0,2013.0,558202,254.0,7.9,8.3,47746.0,368639.0,9.0,477.0,8.4,114982.0,8.2,207413.0,8.3,77260.0,471602,61375,25225,0.84,1,Adventure, Sci-Fi,,UK, USA,,12000000.0,Keir Dullea,D,Gary Lockwood,D,William Sylvester,D
68,Funny Girl,1968,USA,English,151,"Biography, Comedy, Drama",William Wyler,Columbia Pictures,The life of,$ 14100000,$ 52223306,$ 52224263,7.4,89.0,90.0,17228,55.0,7.7,7.2,5568.0,8069.0,9.1,6.0,7.8,2815.0,7.2,5079.0,7.3,5418.0,13796,2884,548,0.8,1,Biography, Comedy, Drama,USA,,,14100000.0,Barbra Streisand,C,Omar Sharif,D,Kay Medford,D
69,Night of the Living Dead,1968,USA,English,96,Horror,George A. Romero,Image Ten,"A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a bloodthirsty, flesh-eating breed of monsters who are ravaging the East Coast of the United States.",$ 114000,$ 236452,$ 236452,7.9,89.0,630.0,108136,231.0,7.7,7.9,10507.0,74917.0,8.0,58.0,7.8,18067.0,7.9,48606.0,7.9,16774.0,92243,13434,2459,0.85,1,Horror,,,USA,,,114000.0,Duane Jones,D,Judith O'Dea,D,Karl Hardman,D
70,The Odd Couple,1968,USA,English,105,Comedy,Gene Saks,Paramount Pictures,"Two friends try sharing an apartment, but their ideas of housekeeping and lifestyles are as different as night and day.",$ 1200000,$ 44527234,$ 44527234,7.7,86.0,127.0,29686,68.0,7.8,7.7,3917.0,19438.0,8.6,5.0,7.7,2981.0,7.6,10944.0,7.8,9012.0,25424,3869,393,0.86,1,Comedy,,,USA,,,1200000.0,Jack Lemmon,D,Walter Matthau,D,John Fiedler,D
71,Planet of the Apes,1968,USA,English,112,"Adventure, Sci-Fi",Franklin J. Schaffner,APJAC Productions,"An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved.",$ 5800000,$ 32589624,$ 32595984,8.0,79.0,431.0,158123,147.0,7.7,8.0,13034.0,112982.0,8.2,76.0,8.0,25303.0,7.9,67884.0,8.0,30055.0,139335,15582,3206,0.88,1,Adventure, Sci-Fi,,USA,,,5800000.0,Charlton Heston,D,Roddy McDowall,D,Kim Hunter,D
79,Where Eagles Dare,1968,"UK, USA","English, German",158,"Action, Adventure, War",Brian G. Hutton,Gershwin-Kastner Productions,"Allied Agents stage a daring raid on a castle where the Nazis are holding American Brigadier General George Carnaby (Robert Beatty) prisoner, but that's not all that's really going on.",$ 7700000,$ 7100000,$ 7100000,7.7,63.0,255.0,48405,54.0,7.4,7.7,2004.0,36735.0,8.1,10.0,7.7,4607.0,7.6,18974.0,7.7,14280.0,41364,6262,779,0.85,1,Action, Adventure, War,UK, USA,,7700000.0,Richard Burton,D,Clint Eastwood,A,Mary Ure,D
77,Paint Your Wagon,1969,USA,English,164,"Comedy, Drama, Musical",Joshua Logan,Alan Jay Lerner Productions,Two unlikely prospector partners share the same wife in a California gold rush mining town.,$ 20000000,$ 14500000,$ 14500000,6.6,50.0,118.0,11337,24.0,7.0,6.5,1276.0,7406.0,7.0,3.0,6.6,535.0,6.4,2726.0,6.7,5267.0,6994,3633,710,0.62,1,Comedy, Drama, Musical,USA,,,20000000.0,Lee Marvin,D,Clint Eastwood,A,Jean Seberg,D
80,The Wild Bunch,1969,USA,"English, Spanish, German",135,"Action, Adventure, Western",Sam Peckinpah,Warner Brothers/Seven Arts,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",$ 6244087,$ 638641,$ 638641,7.9,95.0,313.0,73451,118.0,7.4,8.0,3796.0,54889.0,8.0,16.0,7.9,8883.0,7.9,30677.0,8.1,18266.0,62367,8787,2297,0.85,1,Action, Adventure, Western,USA,,,6244087.0,William Holden,D,Ernest Borgnine,D,Robert Ryan,D
76,On Her Majesty's Secret Service,1969,UK,"English, German, French",142,"Action, Adventure, Thriller",Peter R. Hunt,Eon Productions,James Bond woos a mob boss' daughter and goes undercover to uncover the true reason for Blofeld's allergy research in the Swiss Alps that involves beautiful women from around the world.,$ 7000000,$ 22774493,$ 22787885,6.7,61.0,489.0,73518,104.0,6.5,6.8,3712.0,53774.0,7.1,58.0,6.7,11899.0,6.7,30079.0,6.9,13771.0,45703,24733,3082,0.62,1,Action, Adventure, Thriller,UK,,,7000000.0,George Lazenby,D,Diana Rigg,D,Telly Savalas,D
74,"Hello, Dolly!",1969,USA,English,146,"Adventure, Comedy, Musical",Gene Kelly,Chenault Productions,"Matchmaker Dolly Levi travels to Yonkers to find a partner for ""half-a-millionaire"" Horace Vandergelder, convincing his niece, his niece's intended, and his two clerks to travel to New York City along the way.",$ 25000000,$ 400881,$ 400881,7.1,51.0,120.0,12470,32.0,7.4,6.9,3593.0,6225.0,6.8,4.0,7.4,1361.0,7.0,3630.0,7.0,4573.0,8928,2989,553,0.72,1,Adventure, Comedy, Musical,USA,,,25000000.0,Barbra Streisand,C,Walter Matthau,D,Michael Crawford,D
73,Easy Rider,1969,USA,"English, Spanish, Greek, Ancient (to 1453)",95,"Adventure, Drama",Dennis Hopper,Pando Company Inc.,"Through the open country and desert lands, two bikers head from L.A to New Orleans, and along the way, meet a man who bridges a counter-culture gap they are unaware of.",$ 360000,$ 123276,$ 123276,7.3,86.0,403.0,92580,123.0,7.2,7.3,7390.0,66496.0,7.4,35.0,7.5,15208.0,7.3,40584.0,7.2,16635.0,70811,18481,3288,0.76,1,Adventure, Drama,,USA,,,360000.0,Peter Fonda,D,Dennis Hopper,D,Antonio Mendoza,D
72,Butch Cassidy and the Sundance Kid,1969,USA,"English, Spanish",110,"Biography, Crime, Drama",George Roy Hill,Campanile Productions,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",$ 6000000,$ 102308889,$ 102310639,8.0,66.0,393.0,191264,102.0,8.0,8.0,17680.0,128509.0,8.3,81.0,8.1,30530.0,8.0,71385.0,8.1,39817.0,171221,16879,3164,0.9,1,Biography, Crime, Drama,USA,,,6000000.0,Paul Newman,B,Robert Redford,A,Katharine Ross,D
75,Midnight Cowboy,1969,USA,"English, Italian",113,"Drama, Western",John Schlesinger,Jerome Hellman Productions,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.",$ 3600000,$ 44785053,$ 44801177,7.8,79.0,371.0,93226,119.0,7.8,7.9,9440.0,63956.0,8.4,24.0,7.9,13004.0,7.8,37375.0,7.9,21542.0,80135,10885,2206,0.86,1,Drama, Western,,USA,,,3600000.0,Dustin Hoffman,A,Jon Voight,D,Sylvia Miles,D
78,Two Mules for Sister Sara,1970,"Mexico, USA","English, Spanish, French, Latin",116,"Adventure, Romance, War",Don Siegel,The Malpaso Company,"Nun Sara (Shirley MacLaine) is on the run in Mexico and is saved from cowboys by Hogan (Clint Eastwood), who is preparing for a future mission to capture a French fort. The pair become good friends, but Sara never does tell him the true reason behind her being outlawed.",$ 2500000,$ 5050000,$ 5050000,7.0,62.0,76.0,21903,36.0,7.3,7.0,1697.0,15665.0,6.7,7.0,7.2,1960.0,7.0,7709.0,7.0,7267.0,16031,5540,332,0.73,1,Adventure, Romance, War,Mexico, USA,,2500000.0,Shirley MacLaine,D,Clint Eastwood,A,Manolo Fábregas,D
81,Airport,1970,USA,"English, Italian",137,"Action, Drama, Thriller","George Seaton, Henry Hathaway",Universal Pictures,"A bomber on board an airplane, an airport almost closed by snow, and various personal problems of the people involved.",$ 10000000,$ 100489151,$ 100489151,6.6,42.0,183.0,16269,71.0,6.8,6.6,1439.0,10943.0,7.0,2.0,6.6,794.0,6.4,4539.0,6.7,6841.0,9471,6104,694,0.58,0,Action, Drama, Thriller,USA,,,10000000.0,Burt Lancaster,D,Dean Martin,D,Jean Seberg,D
